arrival_update_on,company_id,location_id,working_period_id,sr_no,etd_departure,atd_departure,eta_destination,ata_destination,flight_date,eta_departure,departure_updated_on,shipment_id,mode,vessel_type,departure_source,arrival_source,remarks,carrier,carrier_vessel,company,job_no,location_name,location_code,voyage_no,departure_port_code,destination_port_code,departure_port_name,destination_port_name,transit_time_planned_days,no_of_transshipments,shipment_weight_kg,cargo_type,carrier_reliability_score,weather_severity_score,holiday_flag,shipment_delay_days,check_delay
2025-06-11 17:46:46,127,1238,17,1,2025-05-11 15:46:46,2025-05-13 15:46:46,2025-06-01 15:46:46,2025-06-11 15:46:46,2025-05-11 08:46:46,2025-05-11 22:46:46,2025-05-13 16:46:46,503478,Sea,Tanker,System,Manual,Weather Delay,Maersk,COSCO Haiphong,Oceanic Pvt Ltd,JOB200000,Los Angeles,RTM,VOY381S,LAX,RTM,Los Angeles,Rotterdam,21,1,4654,Dry Container,0.93,1,1,10,10
2024-10-08 08:43:45,168,1127,13,2,2024-09-21 06:43:45,2024-09-22 06:43:45,2024-10-01 06:43:45,2024-10-08 06:43:45,2024-09-21 23:43:45,2024-09-20 20:43:45,2024-09-24 04:43:45,572357,Sea,Bulk Carrier,Manual,System,On Schedule,MSC,COSCO Shipping Taurus,LogiCorp,JOB200001,Hamburg,DXB,VOY881E,SHA,JNPT,Shanghai Port,Nhava Sheva (JNPT),10,0,5797,Bulk,0.88,0,0,7,7
2025-11-28 14:25:34,168,1746,8,3,2025-11-04 00:25:34,2025-11-03 00:25:34,2025-11-22 00:25:34,2025-11-27 00:25:34,2025-11-03 22:25:34,2025-11-03 17:25:34,2025-11-04 16:25:34,560589,Sea,Bulk Carrier,Manual,System,Customs Hold,Maersk,Hapag-Lloyd Jakarta Express,LogiCorp,JOB200002,Dubai,BOM,VOY564E,RTM,DXB,Rotterdam,Jebel Ali,18,0,6918,Bulk,0.95,3,1,5,5
2024-04-06 00:50:42,168,1269,19,4,2024-02-21 09:50:42,2024-02-21 09:50:42,2024-03-25 09:50:42,2024-04-05 09:50:42,2024-02-22 08:50:42,2024-02-21 10:50:42,2024-02-23 08:50:42,576484,Sea,Bulk Carrier,Manual,System,Weather Delay,MSC,MSC Isabella,GlobalFreight,JOB200003,Singapore,BOM,VOY997E,LAX,DDR,Los Angeles,Dadri ICD,33,0,3687,Dry Container,0.89,0,0,11,11
2025-06-04 03:26:31,187,1906,18,5,2025-05-02 08:26:31,2025-05-01 08:26:31,2025-05-23 08:26:31,2025-06-02 08:26:31,2025-05-02 03:26:31,2025-05-02 20:26:31,2025-05-03 06:26:31,534973,Sea,Tanker,Manual,System,Customs Hold,Maersk,CMA CGM Marco Polo,Oceanic Pvt Ltd,JOB200004,Dubai,SIN,VOY532N,JNPT,LCH,Nhava Sheva (JNPT),Laem Chabang,21,0,216,Dry Container,0.92,2,0,10,10
2025-02-20 14:52:20,146,1899,10,6,2025-01-29 07:52:20,2025-01-30 07:52:20,2025-02-10 07:52:20,2025-02-19 07:52:20,2025-01-29 02:52:20,2025-01-29 02:52:20,2025-01-30 08:52:20,507592,Sea,Container Ship,System,System,Berthing Delay,ONE,CMA CGM Marco Polo,LogiCorp,JOB200005,Los Angeles,DXB,VOY405S,RTM,DXB,Rotterdam,Jebel Ali,12,0,1190,Reefer,0.87,3,0,9,9
2024-08-15 01:00:49,128,1065,11,7,2024-07-24 21:00:49,2024-07-27 21:00:49,2024-08-06 21:00:49,2024-08-13 21:00:49,2024-07-25 00:00:49,2024-07-24 09:00:49,2024-07-28 04:00:49,577110,Sea,Tanker,System,System,On Schedule,CMA CGM,MSC Isabella,LogiCorp,JOB200006,Hamburg,HAM,VOY533S,PTL,PUS,ICD Patli,Busan,13,0,1469,Dry Container,0.86,1,0,7,7
2026-01-01 08:15:08,112,1674,14,8,2025-12-04 06:15:08,2025-12-06 06:15:08,2025-12-26 06:15:08,2025-12-31 06:15:08,2025-12-04 00:15:08,2025-12-04 05:15:08,2025-12-06 18:15:08,555519,Sea,Bulk Carrier,Manual,System,On Schedule,Maersk,Evergreen Ever Given,LogiCorp,JOB200007,Singapore,HAM,VOY172S,HAM,DDR,Hamburg,Dadri ICD,22,0,6494,Bulk,0.91,0,0,5,5
2024-06-14 01:29:52,169,1856,1,9,2024-05-28 19:29:52,2024-05-31 19:29:52,2024-06-09 19:29:52,2024-06-13 19:29:52,2024-05-30 00:29:52,2024-05-28 09:29:52,2024-05-31 22:29:52,598771,Sea,Container Ship,System,Manual,Berthing Delay,Maersk,Yang Ming Glory,Oceanic Pvt Ltd,JOB200008,Dubai,SIN,VOY243W,RTM,HAM,Rotterdam,Hamburg,12,1,5277,Dry Container,0.91,1,1,4,4
2024-02-07 05:10:44,194,1555,2,10,2024-01-02 16:10:44,2024-01-03 16:10:44,2024-01-26 16:10:44,2024-02-06 16:10:44,2024-01-03 17:10:44,2024-01-03 03:10:44,2024-01-03 19:10:44,541104,Sea,Container Ship,System,Manual,Port Congestion,Yang Ming,Hapag-Lloyd Jakarta Express,GlobalFreight,JOB200009,Dubai,BOM,VOY902W,HAM,JNPT,Hamburg,Nhava Sheva (JNPT),24,0,7368,Dry Container,0.83,1,0,11,11
